DEPTH,TVD,ROP,WOH,WOB_AVG,TORQUE_SURF,TORQUE_MIN,TORQUE_MAX,TOT BIT_RPM,FLOWIN,SPP_AVG,SPM1,SPM2,SPM3,SPM4,Mud Weight In,Mud Weight Out,Temperature In,Temperature Out,D-Exponent Bit Wear,Total RPM [Surface + DHM],Stand Pipe Pressure,PUMP_TIME,TotalRotaryTime,Bit Time,Bit Run,TotalSurfaceCumRevOnBottom,PSACTIVE
         m,         m,       m/h,      klbm,      klbm,   klbf.ft,   klbf.ft,   klbf.ft,1/min,       gpm,       psi,1/min,1/min,1/min,1/min,g/cm3,g/cm3,      degC,      degC,       Euc,1/min,       psi,         h,         h,         h,         m,       Euc,          bbl
183,183,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
183.5,183.5,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
184,184,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
184.5,184.5,20.15,167.76,0,2.02,1.84,2.24,30,203.31,34.12,15,15,15,0,1.113,-0.001,25.2,24.4,-999.25,30,34.12,0.3,4.92,0.05,0.75,136,1668.97
185,185,29.6,166.69,0,2.84,2.29,3.23,30,202.25,32.59,15,15,15,0,1.113,-0.001,25.2,24.4,-999.25,30,32.59,0.32,4.94,0.07,1.34,168,1669.34
185.5,185.5,37.21,159.57,0,4.23,3.76,5.07,30,203.31,32.27,15,15,15,0,1.113,-0.001,25.2,24.4,-999.25,30,32.27,0.33,4.95,0.08,1.71,188,1669.58
186,186,46.76,165.82,0,4.25,3.49,4.72,30,203.31,31.39,15,15,15,0,1.113,-0.001,25.2,24.4,-999.25,30,31.39,0.34,4.96,0.09,2.28,209,1669.74
186.5,186.5,47.22,168.11,0,3.59,3.32,3.89,30,203.31,33.6,15,15,15,0,1.113,-0.001,25.2,24.4,-999.25,30,33.6,0.35,4.97,0.1,2.7,225,1669.98
187,187,45.07,158.47,0,3.57,3.27,3.75,30,203.31,30.9,15,15,15,0,1.113,-0.001,25.2,24.3,-999.25,30,30.9,0.37,4.98,0.11,3.24,246,1669.62
187.5,187.5,42.17,161.22,0,4.55,3.48,4.96,30,203.31,32.86,15,15,15,0,1.113,-0.001,25.2,24.4,-999.25,30,32.86,0.38,4.99,0.13,3.65,269,1669.6
188,188,22.14,158.74,0,3.41,3.16,3.62,40,203.31,32.12,15,15,15,0,1.113,-0.001,25.2,24.4,-999.25,40,32.12,0.39,5,0.14,4.34,293,1669.82
188.5,188.5,6.61,156.93,0,3.74,2.74,4.68,50,203.31,33.45,15,15,15,0,1.113,-0.001,25.3,24.4,-999.25,50,33.45,0.54,5.16,0.29,4.81,722,997.27
189,189,27.46,161.5,0,-999.25,3.99,4.34,50,203.31,32.12,15,15,15,0,1.113,-0.001,25.2,24.4,-999.25,50,32.12,0.55,5.17,0.3,5.25,759,994.64
189.5,189.5,52.33,160.67,0,3.52,3.31,3.63,50,203.31,32.86,15,15,15,0,1.113,-0.001,25.2,24.4,-999.25,50,32.86,0.56,5.18,0.31,5.8,787,993.23
190,190,39.33,166.92,0,3.52,3.49,3.54,50,203.31,33.84,15,15,15,0,1.113,-0.001,25.3,24.4,-999.25,50,33.84,0.57,5.19,0.32,6.23,812,992.99
190.5,190.5,29.54,163.25,0,4.54,4.36,4.71,50,200.61,31.88,15,15,15,0,1.113,-0.001,25.3,24.4,-999.25,50,31.88,0.6,5.21,0.35,6.72,896,984.53
191,191,43.16,161.41,0,3.51,3.3,3.89,50,203.31,32.86,15,15,15,0,1.113,-0.001,25.3,24.4,-999.25,50,32.86,0.61,5.23,0.36,7.16,928,980.76
191.5,191.5,48.31,161.96,0,-999.25,2.94,3.58,50,201.28,32.37,15,15,15,0,1.113,-0.001,25.3,24.4,-999.25,50,32.37,0.62,5.24,0.37,7.78,960,976.75
192,192,51.87,160.31,0,3.47,3.28,3.71,50,203.31,32.86,15,15,15,0,1.113,-0.001,25.2,24.4,-999.25,50,32.86,0.63,5.24,0.38,8.16,986,979.5
192.5,192.5,56.48,161.41,0,3.91,3.56,4.19,50,203.85,33.84,15,15,15,0,1.113,-0.001,25.3,24.4,-999.25,50,33.84,0.64,5.25,0.39,8.72,1015,989.45
193,193,55.33,159.85,0,3.36,3.31,3.4,50,311.85,49.4,23,23,23,0,1.113,-0.001,25.3,24.5,-999.25,50,49.4,0.65,5.26,0.4,9.29,1042,995.02
