Depth (m),Total Vertical Depth (m), ROP (m/h),Weight On Hook (klbm),Weight On Bit Driller (klbm),Surface Torque (klbf.ft),Torque Min (klbf.ft),Torque Max (klbf.ft),Total RPM [Surface + DHM] (1/min),DownHole RPM (1/min),Pump flow (gpm),Stand Pipe Pressure (psi),Pump1 Speed (1/min),Pump2 Speed (1/min),Pump3 Speed (1/min),Pump4 Speed (1/min),Mud Weight In at Bit (g/cm3),Mud Weight Out (g/cm3),Temperature In (degC),Temperature Out (degC),D-Exponent (h),Pump time (h),Bit Time (h),TotalSurfaceCumRevOnBottom (bbl),PSACTIVE (bbl)
325,325,30.59,358.97,0,0.11,0.13,0.1,0,-999.25,200.51,55.55,40,0,0,0,1.071,0,41.8,29,-999.25,0.25,0.04,0,458.6
325.5,325.5,24.71,359.4,0,0.11,0.13,0.1,0,-999.25,200.47,67.45,40,0,0,0,1.073,0,41.8,29,-999.25,0.26,0.05,0,459.23
326,326,25.18,359.18,0,0.12,0.14,0.1,0,-999.25,200.32,82.97,40,0,0,0,1.073,0,41.8,29.1,-999.25,0.28,0.07,0,459.39
326.5,326.5,21.11,358.9,0,0.12,0.14,0.1,0,-999.25,200.33,83.33,40,0,0,0,1.073,0,41.8,29,-999.25,0.31,0.1,0,459.22
327,327,26.31,357.47,0,0.12,0.14,0.1,0,-999.25,200.31,76.24,40,0,0,0,1.073,0,41.8,29.1,-999.25,0.33,0.12,0,459.37
327.5,327.5,40.52,352.84,0,0.12,0.13,0.1,0,-999.25,200.41,69.32,40,0,0,0,1.073,0,41.8,29.1,-999.25,0.35,0.14,0,459.24
328,328,69.47,352.09,0,1.83,1.35,2.51,1,-999.25,200.42,69.45,40,0,0,0,1.074,0,41.8,29.1,-999.25,0.36,0.15,0,459.37
328.5,328.5,48.58,356.43,0,3.27,2.23,4.6,2,-999.25,200.34,65.47,40,0,0,0,1.073,0,41.8,29.1,-999.25,0.38,0.17,2,459.26
329,329,18.71,356.42,0,3.66,2.65,4.68,2,-999.25,200.46,62.04,40,0,0,0,1.073,0,41.8,29.1,-999.25,0.41,0.2,6,459.49
329.5,329.5,22.81,354.75,0,4.4,3.38,5.53,3,-999.25,200.46,62.57,40,0,0,0,1.073,0,41.8,29.1,-999.25,0.42,0.22,8,459.21
330,330,31.23,354.47,0,5.07,3.82,6.54,4,-999.25,200.5,62.12,40,0,0,0,1.074,0,41.8,29.1,-999.25,0.44,0.23,12,459.3
330.5,330.5,31.71,353.56,0,4.94,3.67,6.47,5,-999.25,200.43,61.08,40,0,0,0,1.073,0,41.8,29,-999.25,0.46,0.25,16,459.63
331,331,42.41,351.42,0,6.74,6.23,7.28,5,-999.25,200.44,63.31,40,0,0,0,1.073,0,41.8,29.1,-999.25,0.47,0.26,19,459.24
331.5,331.5,48.21,350.69,0,7.32,6.6,8.3,5,-999.25,200.5,62.69,40,0,0,0,1.074,0,41.8,29.1,-999.25,0.48,0.27,22,459.26
332,332,50.36,350.51,0,8.59,7.33,9.95,5,-999.25,200.48,65.16,40,0,0,0,1.073,0,41.8,29.1,-999.25,0.49,0.28,25,459.42
332.5,332.5,73.4,349.36,0,9.53,9,9.95,5,-999.25,200.51,64.18,40,0,0,0,1.074,0,41.8,29.1,-999.25,0.5,0.29,27,459.24
333,333,91.94,349.41,0,9.71,9.23,10.12,5,-999.25,200.39,62.84,40,0,0,0,1.072,0,41.8,29.1,-999.25,0.5,0.29,28,459.36
333.5,333.5,90.65,349.19,0,9.12,8.75,9.53,4,-999.25,200.52,65.69,40,0,0,0,1.075,0,41.8,29.1,-999.25,0.51,0.3,29,459.19
